Voltage U1	Corriente IA
U1/V	IA/nA

27,76	6,22
27,78	6,22
27,81	6,25
27,83	6,18
27,86	6,19
27,88	6,14
27,91	6,26
27,93	6,18
27,96	6,25
27,98	6,06
28,00	6,09
28,03	5,97
28,05	6,13
28,08	5,98
28,10	6,09
28,13	5,84
28,15	5,98
28,18	5,81
28,20	6,00
28,22	5,78
28,25	5,93
28,27	5,63
28,30	5,81
28,32	5,53
28,35	5,73
28,37	5,47
28,40	5,61
28,42	5,28
28,44	5,48
28,47	5,19
28,49	5,38
28,52	5,09
28,54	5,22
28,57	4,93
28,59	5,16
28,62	4,86
28,64	5,02
28,66	4,74
28,69	4,87
28,71	4,61
28,74	4,78
28,76	4,49
28,79	4,60
28,81	4,35
28,84	4,50
28,86	4,30
28,88	4,45
28,91	4,24
28,93	4,32
28,96	4,13
28,98	4,25
29,01	4,08
29,03	4,18
29,05	4,02
29,08	4,03
29,10	3,85
29,13	3,90
29,15	3,82
29,18	3,86
29,20	3,76
29,23	3,77
29,25	3,68
29,27	3,74
29,30	3,75
29,32	3,75
29,35	3,73
29,37	3,67
29,40	3,61
29,42	3,58
29,45	3,63
29,47	3,56
29,49	3,62
29,52	3,47
29,54	3,50
29,57	3,42
29,59	3,57
29,62	3,47
29,64	3,58
29,67	3,37
29,69	3,54
29,71	3,41
29,74	3,61
29,76	3,46
29,79	3,59
29,81	3,36
29,84	3,55
29,86	3,34
29,89	3,59
29,91	3,37
29,93	3,55
29,96	3,32
29,98	3,56
30,01	3,34
30,03	3,62
30,06	3,39
30,08	3,61
30,10	3,38
30,13	3,65
30,15	3,44
30,18	3,66
30,20	3,44
30,23	3,64
30,25	3,45
30,28	3,74
30,30	3,53
30,32	3,74
30,35	3,59
30,37	3,79
30,40	3,65
30,42	3,93
30,45	3,79
30,47	3,97
30,50	3,85
30,52	4,01
30,54	3,97
30,57	4,20
30,59	4,10
30,62	4,24
30,64	4,18
30,67	4,36
30,69	4,41
30,72	4,56
30,74	4,54
30,76	4,67
30,79	4,66
30,81	4,82
30,84	4,89
30,86	5,02
30,89	5,08
30,91	5,15
30,94	5,19
30,96	5,30
30,98	5,44
31,01	5,52
31,03	5,64
31,06	5,65
31,08	5,77
31,11	5,83
31,13	6,03
31,15	6,10
31,18	6,30
31,20	6,27
31,23	6,46
31,25	6,47
31,28	6,74
31,30	6,71
31,33	6,92
31,35	6,84
31,37	7,06
31,40	7,04
31,42	7,36
31,45	7,31
31,47	7,58
31,50	7,50
31,52	7,80
31,55	7,76
31,57	8,08
31,59	8,00
31,62	8,28
31,64	8,17
31,67	8,47
31,69	8,37
31,72	8,63
31,74	8,52
31,77	8,76
31,79	8,61
31,81	8,92
31,84	8,79
31,86	9,05
31,89	9,00
31,91	9,23
31,94	9,14
31,96	9,44
31,99	9,30
32,01	9,52
32,03	9,41
32,06	9,58
32,08	9,51
32,11	9,72
32,13	9,64
32,16	9,80
32,18	9,70
32,20	9,85
32,23	9,83
32,25	9,97
32,28	9,93
32,30	10,00
32,33	9,92
32,35	10,05
32,38	10,05
32,40	10,13
32,42	10,12
32,45	10,11
32,47	10,05
32,50	10,09
32,52	10,09
32,55	10,11
32,57	10,10
32,60	10,00
32,62	10,01
32,64	9,97
32,67	10,02
32,69	9,94
32,72	9,96
32,74	9,80
32,77	9,81
32,79	9,66
32,82	9,76
32,84	9,61
32,86	9,66
32,89	9,43
32,91	9,48
32,94	9,31
32,96	9,44
32,99	9,19
33,01	9,27
33,04	8,99
33,06	9,09
33,08	8,84
33,11	8,96
33,13	8,67
33,16	8,78
33,18	8,44
33,21	8,56
33,23	8,28
33,26	8,39
33,28	8,09
33,30	8,16
33,33	7,83
33,35	7,99
33,38	7,68
33,40	7,74
33,43	7,45
33,45	7,49
33,47	7,23
33,50	7,38
33,52	7,07
33,55	7,14
33,57	6,89
33,60	6,95
33,62	6,74
33,65	6,81
33,67	6,54
33,69	6,58
33,72	6,34
33,74	6,39
33,77	6,23
33,79	6,28
33,82	6,11
33,84	6,11
33,87	5,93
33,89	5,97
33,91	5,85
33,94	5,85
33,96	5,73
33,99	5,68
34,01	5,56
34,04	5,56
34,06	5,49
34,09	5,50
34,11	5,44
34,13	5,35
34,16	5,28
34,18	5,24
34,21	5,27
34,23	5,22
34,26	5,21
34,28	5,08
34,31	5,07
34,33	4,99
34,35	5,08
34,38	4,98
34,40	5,05
34,43	4,87
34,45	4,96
34,48	4,88
34,50	5,03
34,52	4,87
34,55	4,97
34,57	4,78
34,60	4,92
34,62	4,78
34,65	4,93
34,67	4,77
34,70	4,95
34,72	4,74
34,74	4,95
34,77	4,80
34,79	5,02
34,82	4,89
34,84	5,06
34,87	4,85
34,89	5,09
34,92	4,89
34,94	5,09
34,96	4,91
34,99	5,09
35,01	4,95
35,04	5,21
35,06	5,05
35,09	5,29
35,11	5,17
35,14	5,38
35,16	5,27
35,18	5,53
35,21	5,40
35,23	5,60
35,26	5,48
35,28	5,69
35,31	5,66
35,33	5,89
35,36	5,87
35,38	6,02
35,40	5,98
35,43	6,20
35,45	6,23
35,48	6,45
35,50	6,47
35,53	6,59
35,55	6,63
35,57	6,82
35,60	6,89
35,62	7,06
35,65	7,11
35,67	7,22
35,70	7,29
35,72	7,47
35,75	7,63
35,77	7,77
35,79	7,92
35,82	8,03
35,84	8,16
35,87	8,30
35,89	8,51
35,92	8,61
35,94	8,83
35,97	8,86
35,99	9,04
36,01	9,13
36,04	9,41
36,06	9,48
36,09	9,76
36,11	9,76
36,14	10,04
36,16	10,12
36,19	10,45
36,21	10,49
36,23	10,78
36,26	10,74
36,28	11,06
36,31	11,06
36,33	11,41
36,36	11,40
36,38	11,72
36,41	11,70
36,43	12,06
36,45	12,04
36,48	12,43
36,50	12,38
36,53	12,69
36,55	12,64
36,58	13,01
36,60	12,94
36,62	13,26
36,65	13,19
36,67	13,50
36,70	13,44
36,72	13,79
36,75	13,71
36,77	14,02
36,80	13,97
36,82	14,26
36,84	14,23
36,87	14,53
36,89	14,47
36,92	14,70
36,94	14,62
36,97	14,83
36,99	14,79
37,02	15,01
37,04	14,96
37,06	15,07
37,09	15,01
37,11	15,16
37,14	15,17
37,16	15,29
37,19	15,26
37,21	15,33
37,24	15,27
37,26	15,36
37,28	15,38
37,31	15,42
37,33	15,41
37,36	15,38
37,38	15,32
37,41	15,31
37,43	15,34
37,46	15,29
37,48	15,29
37,50	15,14
37,53	15,10
37,55	15,02
37,58	15,08
37,60	14,93
37,63	14,96
37,65	14,74
37,68	14,75
37,70	14,58
37,72	14,65
37,75	14,43
37,77	14,46
37,80	14,14
37,82	14,16
37,85	13,89
37,87	13,97
37,89	13,65
37,92	13,66
37,94	13,30
37,97	13,34
37,99	13,06
38,02	13,16
38,04	12,82
38,07	12,85
38,09	12,51
38,11	12,59
38,14	12,25
38,16	12,24
38,19	11,84
38,21	11,83
38,24	11,46
38,26	11,51
38,29	11,16
38,31	11,15
38,33	10,84
38,36	10,85
38,38	10,55
38,41	10,61
38,43	10,28
38,46	10,26
38,48	9,97
38,51	9,94
38,53	9,68
38,55	9,70
38,58	9,43
38,60	9,38
38,63	9,10
38,65	9,08
38,68	8,91
38,70	8,87
38,73	8,67
38,75	8,62
38,77	8,43
38,80	8,42
38,82	8,30
38,85	8,25
38,87	8,13
38,90	8,03
38,92	7,87
38,94	7,81
38,97	7,74
38,99	7,67
39,02	7,62
39,04	7,50
39,07	7,44
39,09	7,36
39,12	7,40
39,14	7,32
39,16	7,35
39,19	7,16
39,21	7,16
39,24	7,04
39,26	7,14
39,29	7,00
39,31	7,07
39,34	6,85
39,36	6,94
39,38	6,81
39,41	6,98
39,43	6,80
39,46	6,93
39,48	6,74
39,51	6,92
39,53	6,76
39,56	6,96
39,58	6,78
39,60	6,97
39,63	6,77
39,65	6,97
39,68	6,80
39,70	7,03
39,73	6,86
39,75	7,08
39,78	6,89
39,80	7,14
39,82	6,98
39,85	7,21
39,87	7,08
39,90	7,28
39,92	7,14
39,95	7,44
39,97	7,31
39,99	7,55
40,02	7,46
40,04	7,69
40,07	7,64
40,09	7,91
40,12	7,84
40,14	8,07
40,17	7,99
40,19	8,23
40,21	8,26
40,24	8,52
40,26	8,54
40,29	8,74
40,31	8,74
40,34	9,00
40,36	9,10
40,39	9,31
40,41	9,40
40,43	9,57
40,46	9,64
40,48	9,89
40,51	10,02
40,53	10,22
40,56	10,38
40,58	10,51
40,61	10,69
40,63	10,90
40,65	11,12
40,68	11,32
40,70	11,55
40,73	11,69
40,75	11,92
40,78	12,07
40,80	12,36
40,83	12,49
40,85	12,76
40,87	12,85
40,90	13,10
40,92	13,22
40,95	13,61
40,97	13,74
41,00	14,12
41,02	14,19
41,05	14,57
41,07	14,69
41,09	15,13
41,12	15,18
41,14	15,55
41,17	15,54
41,19	15,91
41,22	15,97
41,24	16,38
41,26	16,39
41,29	16,78
41,31	16,78
41,34	17,26
41,36	17,28
41,39	17,67
41,41	17,70
41,44	18,09
41,46	18,10
41,48	18,54
41,51	18,49
41,53	18,87
41,56	18,88
41,58	19,21
41,61	19,22
41,63	19,61
41,66	19,61
41,68	19,97
41,70	19,94
41,73	20,24
41,75	20,28
41,78	20,61
41,80	20,61
41,83	20,82
41,85	20,77
41,88	21,05
41,90	21,08
41,92	21,29
41,95	21,32
41,97	21,44
42,00	21,44
42,02	21,63
42,05	21,67
42,07	21,82
42,10	21,84
42,12	21,84
42,14	21,83
42,17	21,86
42,19	21,90
42,22	21,92
42,24	21,92
42,27	21,85
42,29	21,82
42,31	21,76
42,34	21,81
