Voltage U1	Corriente IA
U1/V	IA/nA

34,74	50,00
34,77	50,00
34,79	50,00
34,82	50,00
34,84	50,00
34,87	50,00
34,89	50,00
34,92	50,00
34,94	50,00
34,96	50,00
34,99	50,00
35,01	50,00
35,04	50,00
35,06	50,00
35,09	50,00
35,11	50,00
35,14	50,00
35,16	50,00
35,18	50,00
35,21	50,00
35,23	50,00
35,26	50,00
35,28	50,00
35,31	50,00
35,33	50,00
35,36	50,00
35,38	50,00
35,40	50,00
35,43	50,00
35,45	50,00
35,48	50,00
35,50	50,00
35,53	50,00
35,55	50,00
35,57	50,00
35,60	50,00
35,62	50,00
35,65	50,00
35,67	50,00
35,70	50,00
35,72	50,00
35,75	50,00
35,77	50,00
35,79	50,00
35,82	50,00
35,84	50,00
35,87	50,00
35,89	50,00
35,92	50,00
35,94	50,00
35,97	50,00
35,99	50,00
36,01	50,00
36,04	50,00
36,06	50,00
36,09	50,00
36,11	50,00
36,14	50,00
36,16	50,00
36,19	50,00
36,21	50,00
36,23	50,00
36,26	50,00
36,28	50,00
36,31	50,00
36,33	50,00
36,36	50,00
36,38	50,00
36,41	50,00
36,43	50,00
36,45	50,00
36,48	50,00
36,50	50,00
36,53	50,00
36,55	50,00
36,58	50,00
36,60	50,00
36,62	50,00
36,65	50,00
36,67	50,00
36,70	50,00
36,72	50,00
36,75	50,00
36,77	50,00
36,80	50,00
36,82	50,00
36,84	50,00
36,87	50,00
36,89	50,00
36,92	50,00
36,94	50,00
36,97	50,00
36,99	50,00
37,02	50,00
37,04	50,00
37,06	50,00
37,09	50,00
37,11	50,00
37,14	50,00
37,16	50,00
37,19	50,00
37,21	50,00
37,24	50,00
37,26	50,00
37,28	50,00
37,31	50,00
37,33	50,00
37,36	50,00
37,38	50,00
37,41	50,00
37,43	50,00
37,46	50,00
37,48	50,00
37,50	50,00
37,53	50,00
37,55	50,00
37,58	50,00
37,60	50,00
37,63	50,00
37,65	50,00
37,68	50,00
37,70	50,00
37,72	50,00
37,75	50,00
37,77	50,00
37,80	50,00
37,82	50,00
37,85	50,00
37,87	50,00
37,89	50,00
37,92	50,00
37,94	50,00
37,97	50,00
37,99	50,00
38,02	50,00
38,04	50,00
38,07	50,00
38,09	50,00
38,11	50,00
38,14	50,00
38,16	50,00
38,19	50,00
38,21	50,00
38,24	50,00
38,26	50,00
38,29	50,00
38,31	50,00
38,33	50,00
38,36	50,00
38,38	50,00
38,41	50,00
38,43	50,00
38,46	50,00
38,48	50,00
38,51	50,00
38,53	50,00
38,55	50,00
38,58	50,00
38,60	50,00
38,63	50,00
38,65	50,00
38,68	50,00
38,70	50,00
38,73	50,00
38,75	50,00
38,77	50,00
38,80	50,00
38,82	50,00
38,85	50,00
38,87	50,00
38,90	50,00
38,92	50,00
38,94	50,00
38,97	50,00
38,99	50,00
39,02	50,00
39,04	50,00
39,07	50,00
39,09	50,00
39,12	50,00
39,14	50,00
39,16	50,00
39,19	50,00
39,21	50,00
39,24	50,00
39,26	50,00
39,29	50,00
39,31	50,00
39,34	50,00
39,36	50,00
39,38	50,00
39,41	50,00
39,43	50,00
39,46	50,00
39,48	50,00
39,51	50,00
39,53	50,00
39,56	50,00
39,58	50,00
39,60	50,00
39,63	50,00
39,65	50,00
39,68	50,00
39,70	50,00
39,73	50,00
39,75	50,00
39,78	50,00
39,80	50,00
39,82	50,00
39,85	50,00
39,87	50,00
39,90	50,00
39,92	50,00
39,95	50,00
39,97	50,00
39,99	50,00
40,02	50,00
40,04	50,00
40,07	50,00
40,09	50,00
40,12	50,00
40,14	50,00
40,17	50,00
40,19	50,00
40,21	50,00
40,24	50,00
40,26	50,00
40,29	50,00
40,31	50,00
40,34	50,00
40,36	50,00
40,39	50,00
40,41	50,00
40,43	50,00
40,46	50,00
40,48	50,00
40,51	50,00
40,53	50,00
40,56	50,00
40,58	50,00
40,61	50,00
40,63	50,00
40,65	50,00
40,68	50,00
40,70	50,00
40,73	50,00
40,75	50,00
40,78	50,00
40,80	50,00
40,83	50,00
40,85	50,00
40,87	50,00
40,90	50,00
40,92	50,00
40,95	50,00
40,97	50,00
41,00	50,00
41,02	50,00
41,05	50,00
41,07	50,00
41,09	50,00
41,12	50,00
41,14	50,00
41,17	50,00
41,19	50,00
41,22	50,00
41,24	50,00
41,26	50,00
41,29	50,00
41,31	50,00
41,34	50,00
41,36	50,00
41,39	50,00
41,41	50,00
41,44	50,00
41,46	50,00
41,48	50,00
41,51	50,00
41,53	50,00
41,56	50,00
41,58	50,00
41,61	50,00
41,63	50,00
41,66	50,00
41,68	50,00
41,70	50,00
41,73	50,00
41,75	50,00
41,78	50,00
41,80	50,00
41,83	50,00
41,85	50,00
41,88	50,00
41,90	50,00
41,92	50,00
41,95	50,00
41,97	50,00
42,00	50,00
42,02	50,00
42,05	50,00
42,07	50,00
42,10	50,00
42,12	50,00
42,14	50,00
42,17	50,00
42,19	50,00
42,22	50,00
42,24	50,00
42,27	50,00
42,29	50,00
42,31	50,00
42,34	50,00
